------------------------ Caltech3x3 i8
---- ncodebooks=2
Caltech3x3, i8 , amm mithral nolut     , N D M C lut_work_coef:, 49284,  27,   2,  2, -1.0, (5x10):,  0.0280, (3.5223e+09/s),  0.0280, (3.5223e+09/s),  0.0280, (3.5223e+09/s),  0.0280, (3.5223e+09/s),  0.0280, (3.5223e+09/s)
Caltech3x3, i8 , amm mithral denselut  , N D M C lut_work_coef:, 49284,  27,   2,  2, -1.0, (5x10):,  0.0300, (3.2875e+09/s),  0.0300, (3.2875e+09/s),  0.0300, (3.2875e+09/s),  0.0300, (3.2875e+09/s),  0.0300, (3.2875e+09/s)
Caltech3x3, i8 , mithral lut dense     , N D M C lut_work_coef:, 49284,  27,   2,  2, -1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral enc       , N D M C lut_work_coef:, 49284,  27,   2,  2, -1.0, (5x10):,  0.0220, (4.4829e+09/s),  0.0220, (4.4829e+09/s),  0.0220, (4.4829e+09/s),  0.0220, (4.4829e+09/s),  0.0220, (4.4829e+09/s)
Caltech3x3, i8 , amm mithral scan      , N D M C lut_work_coef:, 49284,  27,   2,  2, -1.0, (5x10):,  0.0060, (1.6437e+10/s),  0.0060, (1.6437e+10/s),  0.0060, (1.6437e+10/s),  0.0050, (1.9725e+10/s),  0.0060, (1.6437e+10/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2,  2,  1.0, (5x10):,  0.0300, (3.2875e+09/s),  0.0300, (3.2875e+09/s),  0.0300, (3.2875e+09/s),  0.0310, (3.1814e+09/s),  0.0300, (3.2875e+09/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2,  2,  1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2,  2,  2.0, (5x10):,  0.0290, (3.4008e+09/s),  0.0290, (3.4008e+09/s),  0.0290, (3.4008e+09/s),  0.0290, (3.4008e+09/s),  0.0290, (3.4008e+09/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2,  2,  2.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
---- ncodebooks=4
Caltech3x3, i8 , amm mithral nolut     , N D M C lut_work_coef:, 49284,  27,   2,  4, -1.0, (5x10):,  0.0560, (1.7611e+09/s),  0.0560, (1.7611e+09/s),  0.0560, (1.7611e+09/s),  0.0560, (1.7611e+09/s),  0.0550, (1.7932e+09/s)
Caltech3x3, i8 , amm mithral denselut  , N D M C lut_work_coef:, 49284,  27,   2,  4, -1.0, (5x10):,  0.0590, (1.6716e+09/s),  0.0590, (1.6716e+09/s),  0.0600, (1.6437e+09/s),  0.0600, (1.6437e+09/s),  0.0600, (1.6437e+09/s)
Caltech3x3, i8 , mithral lut dense     , N D M C lut_work_coef:, 49284,  27,   2,  4, -1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral enc       , N D M C lut_work_coef:, 49284,  27,   2,  4, -1.0, (5x10):,  0.0520, (1.8966e+09/s),  0.0500, (1.9725e+09/s),  0.0490, (2.0127e+09/s),  0.0500, (1.9725e+09/s),  0.0490, (2.0127e+09/s)
Caltech3x3, i8 , amm mithral scan      , N D M C lut_work_coef:, 49284,  27,   2,  4, -1.0, (5x10):,  0.0060, (1.6437e+10/s),  0.0060, (1.6437e+10/s),  0.0060, (1.6437e+10/s),  0.0060, (1.6437e+10/s),  0.0060, (1.6437e+10/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2,  4,  1.0, (5x10):,  0.0590, (1.6716e+09/s),  0.0590, (1.6716e+09/s),  0.0600, (1.6437e+09/s),  0.0590, (1.6716e+09/s),  0.0590, (1.6716e+09/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2,  4,  1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2,  4,  2.0, (5x10):,  0.0590, (1.6716e+09/s),  0.0590, (1.6716e+09/s),  0.0590, (1.6716e+09/s),  0.0590, (1.6716e+09/s),  0.0590, (1.6716e+09/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2,  4,  2.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2,  4,  4.0, (5x10):,  0.0600, (1.6437e+09/s),  0.0600, (1.6437e+09/s),  0.0590, (1.6716e+09/s),  0.0590, (1.6716e+09/s),  0.0600, (1.6437e+09/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2,  4,  4.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
---- ncodebooks=8
Caltech3x3, i8 , amm mithral nolut     , N D M C lut_work_coef:, 49284,  27,   2,  8, -1.0, (5x10):,  0.1760, (5.6036e+08/s),  0.1760, (5.6036e+08/s),  0.1760, (5.6036e+08/s),  0.1690, (5.8357e+08/s),  0.1680, (5.8705e+08/s)
Caltech3x3, i8 , amm mithral denselut  , N D M C lut_work_coef:, 49284,  27,   2,  8, -1.0, (5x10):,  0.1750, (5.6357e+08/s),  0.1750, (5.6357e+08/s),  0.1750, (5.6357e+08/s),  0.1730, (5.7008e+08/s),  0.1750, (5.6357e+08/s)
Caltech3x3, i8 , mithral lut dense     , N D M C lut_work_coef:, 49284,  27,   2,  8, -1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral enc       , N D M C lut_work_coef:, 49284,  27,   2,  8, -1.0, (5x10):,  0.1560, (6.3221e+08/s),  0.1560, (6.3221e+08/s),  0.1560, (6.3221e+08/s),  0.1560, (6.3221e+08/s),  0.1560, (6.3221e+08/s)
Caltech3x3, i8 , amm mithral scan      , N D M C lut_work_coef:, 49284,  27,   2,  8, -1.0, (5x10):,  0.0080, (1.2328e+10/s),  0.0080, (1.2328e+10/s),  0.0090, (1.0958e+10/s),  0.0090, (1.0958e+10/s),  0.0090, (1.0958e+10/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2,  8,  1.0, (5x10):,  0.1790, (5.5097e+08/s),  0.1770, (5.5720e+08/s),  0.1770, (5.5720e+08/s),  0.1770, (5.5720e+08/s),  0.1760, (5.6036e+08/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2,  8,  1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2,  8,  2.0, (5x10):,  0.1760, (5.6036e+08/s),  0.1750, (5.6357e+08/s),  0.1750, (5.6357e+08/s),  0.1750, (5.6357e+08/s),  0.1760, (5.6036e+08/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2,  8,  2.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2,  8,  4.0, (5x10):,  0.1760, (5.6036e+08/s),  0.1760, (5.6036e+08/s),  0.1760, (5.6036e+08/s),  0.1760, (5.6036e+08/s),  0.1760, (5.6036e+08/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2,  8,  4.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
---- ncodebooks=16
Caltech3x3, i8 , amm mithral nolut     , N D M C lut_work_coef:, 49284,  27,   2, 16, -1.0, (5x10):,  0.3430, (2.8753e+08/s),  0.3420, (2.8837e+08/s),  0.3400, (2.9007e+08/s),  0.3310, (2.9796e+08/s),  0.3300, (2.9886e+08/s)
Caltech3x3, i8 , amm mithral denselut  , N D M C lut_work_coef:, 49284,  27,   2, 16, -1.0, (5x10):,  0.3670, (2.6873e+08/s),  0.3630, (2.7169e+08/s),  0.3560, (2.7703e+08/s),  0.3550, (2.7781e+08/s),  0.3560, (2.7703e+08/s)
