------------------------ Caltech3x3 f32
Caltech3x3, f32, amm bolt              , N D M C:, 49284,  27,   2,  2, (5x10):,  1.7850, (8.8352e+08/s),  1.7540, (8.9914e+08/s),  1.6720, (9.4323e+08/s),  1.6770, (9.4042e+08/s),  1.6780, (9.3986e+08/s)
Caltech3x3, f32, amm bolt noenc        , N D M C:, 49284,  27,   2,  2, (5x10):,  1.6640, (9.4777e+08/s),  1.6710, (9.4380e+08/s),  1.6680, (9.4550e+08/s),  1.6730, (9.4267e+08/s),  1.6670, (9.4606e+08/s)
Caltech3x3, f32, amm bolt              , N D M C:, 49284,  27,   2,  4, (5x10):,  1.7380, (9.0742e+08/s),  1.7480, (9.0222e+08/s),  1.7460, (9.0326e+08/s),  1.7470, (9.0274e+08/s),  1.7480, (9.0222e+08/s)
Caltech3x3, f32, amm bolt noenc        , N D M C:, 49284,  27,   2,  4, (5x10):,  1.7870, (8.8253e+08/s),  1.7130, (9.2066e+08/s),  1.7090, (9.2281e+08/s),  1.7860, (8.8303e+08/s),  1.7160, (9.1905e+08/s)
Caltech3x3, f32, amm bolt              , N D M C:, 49284,  27,   2,  8, (5x10):,  2.3050, (6.8420e+08/s),  2.3030, (6.8480e+08/s),  2.2940, (6.8748e+08/s),  2.3180, (6.8037e+08/s),  2.4150, (6.5304e+08/s)
Caltech3x3, f32, amm bolt noenc        , N D M C:, 49284,  27,   2,  8, (5x10):,  2.2830, (6.9080e+08/s),  2.2600, (6.9783e+08/s),  2.2580, (6.9844e+08/s),  2.2620, (6.9721e+08/s),  2.2610, (6.9752e+08/s)
Caltech3x3, f32, amm bolt              , N D M C:, 49284,  27,   2, 16, (5x10):,  3.3780, (4.6687e+08/s),  3.3830, (4.6618e+08/s),  3.3990, (4.6399e+08/s),  3.3660, (4.6853e+08/s),  3.3760, (4.6715e+08/s)
Caltech3x3, f32, amm bolt noenc        , N D M C:, 49284,  27,   2, 16, (5x10):,  3.3290, (4.7374e+08/s),  3.3350, (4.7289e+08/s),  3.4130, (4.6208e+08/s),  3.3270, (4.7403e+08/s),  3.3340, (4.7303e+08/s)
------------------------ Caltech5x5 f32
Caltech5x5, f32, amm bolt              , N D M C:, 48400,  75,   2,  2, (5x10):,  4.7330, (3.2723e+08/s),  4.7330, (3.2723e+08/s),  4.9310, (3.1409e+08/s),  4.7340, (3.2717e+08/s),  4.7540, (3.2579e+08/s)
Caltech5x5, f32, amm bolt noenc        , N D M C:, 48400,  75,   2,  2, (5x10):,  4.7500, (3.2606e+08/s),  4.7750, (3.2436e+08/s),  4.8940, (3.1647e+08/s),  4.9080, (3.1557e+08/s),  4.8940, (3.1647e+08/s)
Caltech5x5, f32, amm bolt              , N D M C:, 48400,  75,   2,  4, (5x10):,  4.5050, (3.4380e+08/s),  4.2380, (3.6546e+08/s),  4.2400, (3.6528e+08/s),  4.2380, (3.6546e+08/s),  4.2480, (3.6460e+08/s)
Caltech5x5, f32, amm bolt noenc        , N D M C:, 48400,  75,   2,  4, (5x10):,  4.3750, (3.5401e+08/s),  4.3100, (3.5935e+08/s),  4.3500, (3.5605e+08/s),  4.3310, (3.5761e+08/s),  4.3330, (3.5744e+08/s)
Caltech5x5, f32, amm bolt              , N D M C:, 48400,  75,   2,  8, (5x10):,  4.3490, (3.5613e+08/s),  4.3510, (3.5596e+08/s),  4.3460, (3.5637e+08/s),  4.3450, (3.5646e+08/s),  4.3510, (3.5596e+08/s)
Caltech5x5, f32, amm bolt noenc        , N D M C:, 48400,  75,   2,  8, (5x10):,  4.5390, (3.4122e+08/s),  4.3170, (3.5877e+08/s),  4.5410, (3.4107e+08/s),  4.5390, (3.4122e+08/s),  4.3080, (3.5952e+08/s)
Caltech5x5, f32, amm bolt              , N D M C:, 48400,  75,   2, 16, (5x10):,  4.8560, (3.1895e+08/s),  4.8760, (3.1764e+08/s),  4.8520, (3.1921e+08/s),  4.8560, (3.1895e+08/s),  4.8620, (3.1855e+08/s)
Caltech5x5, f32, amm bolt noenc        , N D M C:, 48400,  75,   2, 16, (5x10):,  4.8240, (3.2106e+08/s),  4.8200, (3.2133e+08/s),  4.8220, (3.2119e+08/s),  4.8220, (3.2119e+08/s),  4.8290, (3.2073e+08/s)
Caltech5x5, f32, amm bolt              , N D M C:, 48400,  75,   2, 32, (5x10):,  7.5740, (2.0449e+08/s),  7.7360, (2.0021e+08/s),  7.7630, (1.9951e+08/s),  7.7040, (2.0104e+08/s),  7.5330, (2.0560e+08/s)
Caltech5x5, f32, amm bolt noenc        , N D M C:, 48400,  75,   2, 32, (5x10):,  7.6880, (2.0146e+08/s),  7.7110, (2.0086e+08/s),  7.5620, (2.0481e+08/s),  7.6550, (2.0233e+08/s),  7.4930, (2.0670e+08/s)
Caltech5x5, f32, amm bolt              , N D M C:, 48400,  75,   2, 64, (5x10):, 13.5420, (1.1437e+08/s), 13.4590, (1.1508e+08/s), 13.4660, (1.1502e+08/s), 13.5610, (1.1421e+08/s), 13.5020, (1.1471e+08/s)
Caltech5x5, f32, amm bolt noenc        , N D M C:, 48400,  75,   2, 64, (5x10):, 13.5030, (1.1470e+08/s), 13.4760, (1.1493e+08/s), 13.4930, (1.1479e+08/s), 13.5180, (1.1457e+08/s), 13.4890, (1.1482e+08/s)
------------------------ Cifar10 f32
Cifar10, f32, amm bolt              , N D M C:, 10000, 512,  10,  2,    (5x10):,  7.4480, (4.2965e+07/s),  7.3610, (4.3472e+07/s),  7.3690, (4.3425e+07/s),  7.3650, (4.3449e+07/s),  7.3650, (4.3449e+07/s)
Cifar10, f32, amm bolt noenc        , N D M C:, 10000, 512,  10,  2,    (5x10):,  7.3760, (4.3384e+07/s),  7.3640, (4.3455e+07/s),  7.3650, (4.3449e+07/s),  7.3650, (4.3449e+07/s),  7.3590, (4.3484e+07/s)
Cifar10, f32, amm bolt              , N D M C:, 10000, 512,  10,  4,    (5x10):,  7.0890, (4.5140e+07/s),  7.0920, (4.5121e+07/s),  7.1710, (4.4624e+07/s),  7.1720, (4.4618e+07/s),  7.0890, (4.5140e+07/s)
Cifar10, f32, amm bolt noenc        , N D M C:, 10000, 512,  10,  4,    (5x10):,  7.0870, (4.5153e+07/s),  7.0900, (4.5134e+07/s),  7.0840, (4.5172e+07/s),  7.0840, (4.5172e+07/s),  7.0860, (4.5159e+07/s)
Cifar10, f32, amm bolt              , N D M C:, 10000, 512,  10,  8,    (5x10):,  6.4540, (4.9582e+07/s),  6.4970, (4.9254e+07/s),  6.4980, (4.9246e+07/s),  6.5450, (4.8892e+07/s),  6.4560, (4.9566e+07/s)
Cifar10, f32, amm bolt noenc        , N D M C:, 10000, 512,  10,  8,    (5x10):,  6.5710, (4.8699e+07/s),  6.4550, (4.9574e+07/s),  6.4560, (4.9566e+07/s),  6.5020, (4.9216e+07/s),  6.4530, (4.9589e+07/s)
Cifar10, f32, amm bolt              , N D M C:, 10000, 512,  10, 16,    (5x10):,  5.8940, (5.4293e+07/s),  5.8950, (5.4283e+07/s),  5.8920, (5.4311e+07/s),  5.8950, (5.4283e+07/s),  5.8960, (5.4274e+07/s)
Cifar10, f32, amm bolt noenc        , N D M C:, 10000, 512,  10, 16,    (5x10):,  5.7900, (5.5268e+07/s),  5.7890, (5.5277e+07/s),  5.8650, (5.4561e+07/s),  5.8740, (5.4477e+07/s),  5.8700, (5.4514e+07/s)
Cifar10, f32, amm bolt              , N D M C:, 10000, 512,  10, 32,    (5x10):,  5.8760, (5.4459e+07/s),  5.8230, (5.4954e+07/s),  5.6860, (5.6279e+07/s),  5.6830, (5.6308e+07/s),  5.6830, (5.6308e+07/s)
Cifar10, f32, amm bolt noenc        , N D M C:, 10000, 512,  10, 32,    (5x10):,  5.6720, (5.6417e+07/s),  5.6770, (5.6368e+07/s),  5.7690, (5.5469e+07/s),  5.5600, (5.7554e+07/s),  5.6710, (5.6427e+07/s)
Cifar10, f32, amm bolt              , N D M C:, 10000, 512,  10, 64,    (5x10):,  6.3300, (5.0553e+07/s),  6.3270, (5.0577e+07/s),  6.1840, (5.1746e+07/s),  6.1760, (5.1813e+07/s),  6.1800, (5.1780e+07/s)
Cifar10, f32, amm bolt noenc        , N D M C:, 10000, 512,  10, 64,    (5x10):,  6.1560, (5.1982e+07/s),  6.1540, (5.1999e+07/s),  6.3190, (5.0641e+07/s),  6.3220, (5.0617e+07/s),  6.3200, (5.0633e+07/s)
------------------------ Cifar100 f32
Cifar100, f32, amm bolt              , N D M C:, 10000, 512, 100,  2,   (5x10):,  7.6950, (1.6634e+08/s),  7.6670, (1.6695e+08/s),  7.6880, (1.6649e+08/s),  7.7060, (1.6610e+08/s),  7.6850, (1.6656e+08/s)
Cifar100, f32, amm bolt noenc        , N D M C:, 10000, 512, 100,  2,   (5x10):,  7.5990, (1.6844e+08/s),  7.6040, (1.6833e+08/s),  7.8070, (1.6396e+08/s),  7.6010, (1.6840e+08/s),  7.5980, (1.6847e+08/s)
Cifar100, f32, amm bolt              , N D M C:, 10000, 512, 100,  4,   (5x10):,  7.6790, (1.6669e+08/s),  7.6890, (1.6647e+08/s),  7.6830, (1.6660e+08/s),  7.6880, (1.6649e+08/s),  7.9350, (1.6131e+08/s)
Cifar100, f32, amm bolt noenc        , N D M C:, 10000, 512, 100,  4,   (5x10):,  7.6190, (1.6800e+08/s),  7.6290, (1.6778e+08/s),  7.6220, (1.6793e+08/s),  7.6170, (1.6805e+08/s),  7.6180, (1.6802e+08/s)
Cifar100, f32, amm bolt              , N D M C:, 10000, 512, 100,  8,   (5x10):,  6.8770, (1.8613e+08/s),  6.9390, (1.8446e+08/s),  7.0020, (1.8280e+08/s),  6.8790, (1.8607e+08/s),  6.8310, (1.8738e+08/s)
Cifar100, f32, amm bolt noenc        , N D M C:, 10000, 512, 100,  8,   (5x10):,  6.7660, (1.8918e+08/s),  6.8200, (1.8768e+08/s),  6.7990, (1.8826e+08/s),  6.7660, (1.8918e+08/s),  6.7670, (1.8915e+08/s)
Cifar100, f32, amm bolt              , N D M C:, 10000, 512, 100, 16,   (5x10):,  6.3090, (2.0288e+08/s),  6.3400, (2.0189e+08/s),  6.4280, (1.9913e+08/s),  6.3210, (2.0250e+08/s),  6.2350, (2.0529e+08/s)
Cifar100, f32, amm bolt noenc        , N D M C:, 10000, 512, 100, 16,   (5x10):,  6.4020, (1.9994e+08/s),  6.2800, (2.0382e+08/s),  6.2880, (2.0356e+08/s),  6.3660, (2.0107e+08/s),  6.4120, (1.9963e+08/s)
Cifar100, f32, amm bolt              , N D M C:, 10000, 512, 100, 32,   (5x10):,  6.6780, (1.9167e+08/s),  6.6560, (1.9231e+08/s),  7.0540, (1.8146e+08/s),  6.6890, (1.9136e+08/s),  6.6560, (1.9231e+08/s)
Cifar100, f32, amm bolt noenc        , N D M C:, 10000, 512, 100, 32,   (5x10):,  6.8560, (1.8670e+08/s),  6.5910, (1.9420e+08/s),  6.5800, (1.9453e+08/s),  6.5080, (1.9668e+08/s),  6.8700, (1.8632e+08/s)
Cifar100, f32, amm bolt              , N D M C:, 10000, 512, 100, 64,   (5x10):,  7.8440, (1.6318e+08/s),  8.0490, (1.5903e+08/s),  7.8530, (1.6300e+08/s),  7.9460, (1.6109e+08/s),  7.8260, (1.6356e+08/s)
Cifar100, f32, amm bolt noenc        , N D M C:, 10000, 512, 100, 64,   (5x10):,  7.7610, (1.6493e+08/s),  7.7980, (1.6414e+08/s),  7.7620, (1.6491e+08/s),  7.7540, (1.6508e+08/s),  7.7510, (1.6514e+08/s)
------------------------ Ucr64 f32
Ucr64, f32, amm bolt              , N D M C:,  1000, 320,  64,  2,  (5x10):,  0.4710, (1.3588e+08/s),  0.4700, (1.3617e+08/s),  0.4710, (1.3588e+08/s),  0.4700, (1.3617e+08/s),  0.4700, (1.3617e+08/s)
Ucr64, f32, amm bolt noenc        , N D M C:,  1000, 320,  64,  2,  (5x10):,  0.4570, (1.4004e+08/s),  0.4560, (1.4035e+08/s),  0.4560, (1.4035e+08/s),  0.4560, (1.4035e+08/s),  0.4560, (1.4035e+08/s)
Ucr64, f32, amm bolt              , N D M C:,  1000, 320,  64,  4,  (5x10):,  0.4580, (1.3974e+08/s),  0.4580, (1.3974e+08/s),  0.4580, (1.3974e+08/s),  0.4580, (1.3974e+08/s),  0.4590, (1.3943e+08/s)
Ucr64, f32, amm bolt noenc        , N D M C:,  1000, 320,  64,  4,  (5x10):,  0.4450, (1.4382e+08/s),  0.4440, (1.4414e+08/s),  0.4430, (1.4447e+08/s),  0.4430, (1.4447e+08/s),  0.4430, (1.4447e+08/s)
Ucr64, f32, amm bolt              , N D M C:,  1000, 320,  64,  8,  (5x10):,  0.3850, (1.6623e+08/s),  0.3850, (1.6623e+08/s),  0.3850, (1.6623e+08/s),  0.3850, (1.6623e+08/s),  0.3850, (1.6623e+08/s)
Ucr64, f32, amm bolt noenc        , N D M C:,  1000, 320,  64,  8,  (5x10):,  0.3760, (1.7021e+08/s),  0.3760, (1.7021e+08/s),  0.3760, (1.7021e+08/s),  0.3680, (1.7391e+08/s),  0.3680, (1.7391e+08/s)
Ucr64, f32, amm bolt              , N D M C:,  1000, 320,  64, 16,  (5x10):,  0.3830, (1.6710e+08/s),  0.3830, (1.6710e+08/s),  0.3720, (1.7204e+08/s),  0.3710, (1.7251e+08/s),  0.3710, (1.7251e+08/s)
Ucr64, f32, amm bolt noenc        , N D M C:,  1000, 320,  64, 16,  (5x10):,  0.3570, (1.7927e+08/s),  0.3710, (1.7251e+08/s),  0.3700, (1.7297e+08/s),  0.3710, (1.7251e+08/s),  0.3580, (1.7877e+08/s)
Ucr64, f32, amm bolt              , N D M C:,  1000, 320,  64, 32,  (5x10):,  0.3880, (1.6495e+08/s),  0.3880, (1.6495e+08/s),  0.3890, (1.6452e+08/s),  0.3880, (1.6495e+08/s),  0.3890, (1.6452e+08/s)
