mithral encode f32    , N D C B:,   16384,  32,  16,  8,    (5x10):,  0.1080, (2.4273e+09/s),  0.1060, (2.4731e+09/s),  0.1030, (2.5451e+09/s),  0.1070, (2.4499e+09/s),  0.1040, (2.5206e+09/s)
mithral encode i8     , N D C B:,   16384,  32,  16,  8,    (5x10):,  0.0870, (3.0131e+09/s),  0.0870, (3.0131e+09/s),  0.0870, (3.0131e+09/s),  0.0880, (2.9789e+09/s),  0.0880, (2.9789e+09/s)
mithral encode i16    , N D C B:,   16384,  32,  16,  8,    (5x10):,  0.0990, (2.6479e+09/s),  0.1000, (2.6214e+09/s),  0.0990, (2.6479e+09/s),  0.1030, (2.5451e+09/s),  0.0980, (2.6749e+09/s)
bolt encode           , N D C B:,   16384,  32,  16,  8,    (5x10):,  1.4260, (1.8383e+08/s),  1.4180, (1.8487e+08/s),  1.4220, (1.8435e+08/s),  1.4220, (1.8435e+08/s),  1.4230, (1.8422e+08/s)
pq encode             , N D C B:,   16384,  32,   8,  8,    (5x10):, 26.3600, (9.9448e+06/s), 26.4360, (9.9162e+06/s), 27.6820, (9.4698e+06/s), 25.9540, (1.0100e+07/s), 25.8170, (1.0154e+07/s)
opq encode            , N D C B:,   16384,  32,   8,  8,    (5x10):, 28.1220, (9.3217e+06/s), 27.2590, (9.6168e+06/s), 27.4150, (9.5621e+06/s), 27.9760, (9.3703e+06/s), 27.6850, (9.4688e+06/s)
mithral encode f32    , N D C B:,   16384,  32,  32, 16,    (5x10):,  0.2210, (2.3723e+09/s),  0.2320, (2.2599e+09/s),  0.2260, (2.3199e+09/s),  0.2460, (2.1313e+09/s),  0.2230, (2.3511e+09/s)
mithral encode i8     , N D C B:,   16384,  32,  32, 16,    (5x10):,  0.1970, (2.6614e+09/s),  0.1960, (2.6749e+09/s),  0.1920, (2.7307e+09/s),  0.1960, (2.6749e+09/s),  0.1920, (2.7307e+09/s)
mithral encode i16    , N D C B:,   16384,  32,  32, 16,    (5x10):,  0.2020, (2.5955e+09/s),  0.2020, (2.5955e+09/s),  0.2070, (2.5328e+09/s),  0.2020, (2.5955e+09/s),  0.2030, (2.5827e+09/s)
bolt encode           , N D C B:,   16384,  32,  32, 16,    (5x10):,  2.3560, (2.2253e+08/s),  2.3560, (2.2253e+08/s),  2.3560, (2.2253e+08/s),  2.3560, (2.2253e+08/s),  2.3560, (2.2253e+08/s)
pq encode             , N D C B:,   16384,  32,  16, 16,    (5x10):, 40.8290, (1.2841e+07/s), 40.8460, (1.2836e+07/s), 40.8340, (1.2839e+07/s), 40.8080, (1.2848e+07/s), 40.7860, (1.2855e+07/s)
opq encode            , N D C B:,   16384,  32,  16, 16,    (5x10):, 42.1520, (1.2438e+07/s), 42.1280, (1.2445e+07/s), 42.1570, (1.2437e+07/s), 42.1360, (1.2443e+07/s), 42.1350, (1.2443e+07/s)
mithral encode f32    , N D C B:,   16384,  32,  64, 32,    (5x10):,  0.4110, (2.5513e+09/s),  0.4080, (2.5700e+09/s),  0.4110, (2.5513e+09/s),  0.4120, (2.5451e+09/s),  0.4110, (2.5513e+09/s)
mithral encode i8     , N D C B:,   16384,  32,  64, 32,    (5x10):,  0.3800, (2.7594e+09/s),  0.3860, (2.7165e+09/s),  0.3900, (2.6887e+09/s),  0.3900, (2.6887e+09/s),  0.3800, (2.7594e+09/s)
mithral encode i16    , N D C B:,   16384,  32,  64, 32,    (5x10):,  0.4070, (2.5764e+09/s),  0.4010, (2.6149e+09/s),  0.4050, (2.5891e+09/s),  0.4060, (2.5827e+09/s),  0.3930, (2.6681e+09/s)
mithral encode f32    , N D C B:,   16384,  64,  16,  8,    (5x10):,  0.0980, (2.6749e+09/s),  0.0980, (2.6749e+09/s),  0.0980, (2.6749e+09/s),  0.0980, (2.6749e+09/s),  0.0990, (2.6479e+09/s)
mithral encode i8     , N D C B:,   16384,  64,  16,  8,    (5x10):,  0.0840, (3.1208e+09/s),  0.0840, (3.1208e+09/s),  0.0840, (3.1208e+09/s),  0.0840, (3.1208e+09/s),  0.0840, (3.1208e+09/s)
mithral encode i16    , N D C B:,   16384,  64,  16,  8,    (5x10):,  0.1000, (2.6214e+09/s),  0.0990, (2.6479e+09/s),  0.0980, (2.6749e+09/s),  0.0980, (2.6749e+09/s),  0.0990, (2.6479e+09/s)
bolt encode           , N D C B:,   16384,  64,  16,  8,    (5x10):,  1.9270, (1.3604e+08/s),  1.9290, (1.3590e+08/s),  1.9260, (1.3611e+08/s),  1.9260, (1.3611e+08/s),  1.9270, (1.3604e+08/s)
pq encode             , N D C B:,   16384,  64,   8,  8,    (5x10):, 40.4050, (6.4879e+06/s), 40.4240, (6.4849e+06/s), 40.3890, (6.4905e+06/s), 40.2570, (6.5118e+06/s), 40.4570, (6.4796e+06/s)
opq encode            , N D C B:,   16384,  64,   8,  8,    (5x10):, 44.9920, (5.8265e+06/s), 45.0430, (5.8199e+06/s), 45.0920, (5.8135e+06/s), 44.9330, (5.8341e+06/s), 44.8890, (5.8398e+06/s)
mithral encode f32    , N D C B:,   16384,  64,  32, 16,    (5x10):,  0.2280, (2.2995e+09/s),  0.2350, (2.2310e+09/s),  0.2320, (2.2599e+09/s),  0.2340, (2.2405e+09/s),  0.2340, (2.2405e+09/s)
mithral encode i8     , N D C B:,   16384,  64,  32, 16,    (5x10):,  0.1950, (2.6887e+09/s),  0.1930, (2.7165e+09/s),  0.1930, (2.7165e+09/s),  0.1920, (2.7307e+09/s),  0.1940, (2.7025e+09/s)
mithral encode i16    , N D C B:,   16384,  64,  32, 16,    (5x10):,  0.2050, (2.5575e+09/s),  0.2050, (2.5575e+09/s),  0.2050, (2.5575e+09/s),  0.2020, (2.5955e+09/s),  0.2050, (2.5575e+09/s)
bolt encode           , N D C B:,   16384,  64,  32, 16,    (5x10):,  2.9180, (1.7967e+08/s),  2.9000, (1.8079e+08/s),  2.9000, (1.8079e+08/s),  2.8990, (1.8085e+08/s),  3.0050, (1.7447e+08/s)
pq encode             , N D C B:,   16384,  64,  16, 16,    (5x10):, 53.7110, (9.7613e+06/s), 53.7820, (9.7484e+06/s), 53.6850, (9.7660e+06/s), 53.7850, (9.7478e+06/s), 53.6810, (9.7667e+06/s)
opq encode            , N D C B:,   16384,  64,  16, 16,    (5x10):, 58.5450, (8.9553e+06/s), 58.3810, (8.9805e+06/s), 58.5920, (8.9481e+06/s), 58.3280, (8.9886e+06/s), 58.4940, (8.9631e+06/s)
mithral encode f32    , N D C B:,   16384,  64,  64, 32,    (5x10):,  0.4320, (2.4273e+09/s),  0.4530, (2.3147e+09/s),  0.4530, (2.3147e+09/s),  0.4570, (2.2945e+09/s),  0.4570, (2.2945e+09/s)
mithral encode i8     , N D C B:,   16384,  64,  64, 32,    (5x10):,  0.3940, (2.6614e+09/s),  0.3840, (2.7307e+09/s),  0.3890, (2.6956e+09/s),  0.3900, (2.6887e+09/s),  0.3780, (2.7740e+09/s)
