algo, _0, N, C, B, M, _1, latency0, _2, latency1, _3, latency2, _4, latency3, _5, latency4, _6
popcount scan         , N C B M:,  100000,  -1,  8, 10, (5x20):,  0.7200, (1.3889e+09/s),  0.7230, (1.3831e+09/s),  0.7240, (1.3812e+09/s),  0.7240, (1.3812e+09/s),  0.7170, (1.3947e+09/s)
popcount scan         , N C B M:,  100000,  -1, 16, 10, (5x20):,  1.0490, (9.5329e+08/s),  1.0570, (9.4607e+08/s),  1.0430, (9.5877e+08/s),  1.0570, (9.4607e+08/s),  1.0460, (9.5602e+08/s)
popcount scan         , N C B M:,  100000,  -1, 32, 10, (5x20):,  1.7110, (5.8445e+08/s),  1.6800, (5.9524e+08/s),  1.6720, (5.9809e+08/s),  1.6610, (6.0205e+08/s),  1.6720, (5.9809e+08/s)
popcount scan         , N C B M:,  100000,  -1, 64, 10, (5x20):,  3.5730, (2.7988e+08/s),  3.5260, (2.8361e+08/s),  3.5290, (2.8337e+08/s),  3.5230, (2.8385e+08/s),  3.5810, (2.7925e+08/s)
------------------------ B = 1
mithral scan          , N C B M:,  100000,   2,  1, 12, (5x20):,  0.0680, (1.7647e+10/s),  0.0680, (1.7647e+10/s),  0.0670, (1.7910e+10/s),  0.0670, (1.7910e+10/s),  0.0670, (1.7910e+10/s)
bolt scan uint8       , N C B M:,  100000,   2,  1, 12, (5x20):,  0.0600, (2.0000e+10/s),  0.0590, (2.0339e+10/s),  0.0600, (2.0000e+10/s),  0.0600, (2.0000e+10/s),  0.0620, (1.9355e+10/s)
bolt scan uint16      , N C B M:,  100000,   2,  1, 12, (5x20):,  0.1220, (9.8361e+09/s),  0.1210, (9.9174e+09/s),  0.1240, (9.6774e+09/s),  0.1190, (1.0084e+10/s),  0.1190, (1.0084e+10/s)
bolt scan safe uint16 , N C B M:,  100000,   2,  1, 12, (5x20):,  0.1160, (1.0345e+10/s),  0.1170, (1.0256e+10/s),  0.1200, (1.0000e+10/s),  0.1190, (1.0084e+10/s),  0.1190, (1.0084e+10/s)
bolt scan orig        , N C B M:,  100000,   2,  1, 12, (5x20):,  0.1340, (8.9552e+09/s),  0.1410, (8.5106e+09/s),  0.1410, (8.5106e+09/s),  0.1460, (8.2192e+09/s),  0.1440, (8.3333e+09/s)
pq scan               , N C B M:,  100000,   1,  1, 12, (5x20):,  0.8030, (1.4944e+09/s),  0.8000, (1.5000e+09/s),  0.8010, (1.4981e+09/s),  0.8010, (1.4981e+09/s),  0.8030, (1.4944e+09/s)
------------------------ B = 2
mithral scan          , N C B M:,  100000,   4,  2, 12, (5x20):,  0.0670, (1.7910e+10/s),  0.0690, (1.7391e+10/s),  0.0670, (1.7910e+10/s),  0.0670, (1.7910e+10/s),  0.0690, (1.7391e+10/s)
bolt scan uint8       , N C B M:,  100000,   4,  2, 12, (5x20):,  0.0640, (1.8750e+10/s),  0.0650, (1.8462e+10/s),  0.0630, (1.9048e+10/s),  0.0640, (1.8750e+10/s),  0.0640, (1.8750e+10/s)
bolt scan uint16      , N C B M:,  100000,   4,  2, 12, (5x20):,  0.1220, (9.8361e+09/s),  0.1230, (9.7561e+09/s),  0.1200, (1.0000e+10/s),  0.1220, (9.8361e+09/s),  0.1240, (9.6774e+09/s)
bolt scan safe uint16 , N C B M:,  100000,   4,  2, 12, (5x20):,  0.1340, (8.9552e+09/s),  0.1290, (9.3023e+09/s),  0.1300, (9.2308e+09/s),  0.1320, (9.0909e+09/s),  0.1330, (9.0226e+09/s)
bolt scan orig        , N C B M:,  100000,   4,  2, 12, (5x20):,  0.1400, (8.5714e+09/s),  0.1560, (7.6923e+09/s),  0.1500, (8.0000e+09/s),  0.1500, (8.0000e+09/s),  0.1520, (7.8947e+09/s)
